REF_AREA,TIME_PERIOD,PRODUCTION
SA,2020-11,8972.0000
SA,2020-12,8980.0000
SA,2021-01,9103.0000
SA,2021-02,8147.0000
SA,2021-03,8138.0000
SA,2021-04,8134.0000
SA,2021-05,8544.0000
SA,2021-06,8927.0000
SA,2021-07,9474.0000
SA,2021-08,9562.0000
SA,2021-09,9662.0000
SA,2021-10,9780.0000
SA,2021-11,9912.0000
SA,2021-12,10022.0000
SA,2022-01,10145.0000
SA,2022-02,10225.0000
SA,2022-03,10300.0000
SA,2022-04,10441.0000
SA,2022-05,10538.0000
SA,2022-06,10646.0000
SA,2022-07,10815.0000
SA,2022-08,11051.0000
SA,2022-09,11041.0000
SA,2022-10,10957.0000
SA,2022-11,10468.0000
SA,2022-12,10435.0000
SA,2023-01,10453.0000
SA,2023-02,10450.0000
SA,2023-03,10464.0000
SA,2023-04,10461.0000
SA,2023-05,9959.0000
SA,2023-06,9956.0000
SA,2023-07,9013.0000
SA,2023-08,8918.0000
SA,2023-09,8975.0000
SA,2023-10,8940.0000
SA,2023-11,8818.0000
SA,2023-12,8944.0000
SA,2024-01,8956.0000
SA,2024-02,9011.0000
