REF_AREA,TIME_PERIOD,PRODUCTION
MX,2020-11,1691.8840
MX,2020-12,1713.1316
MX,2021-01,1714.0452
MX,2021-02,1733.0829
MX,2021-03,1760.8645
MX,2021-04,1752.5360
MX,2021-05,1756.5252
MX,2021-06,1767.1680
MX,2021-07,1771.1419
MX,2021-08,1720.8968
MX,2021-09,1775.1920
MX,2021-10,1762.0065
MX,2021-11,1761.7400
MX,2021-12,1762.9200
MX,2022-01,1771.5987
MX,2022-02,1752.0471
MX,2022-03,1762.9200
MX,2022-04,1751.8280
MX,2022-05,1759.2658
MX,2022-06,1770.9440
MX,2022-07,1779.1355
MX,2022-08,1764.2903
MX,2022-09,1759.6160
MX,2022-10,1773.1974
MX,2022-11,1778.9680
MX,2022-12,1769.5432
MX,2023-01,1812.2516
MX,2023-02,1810.7100
MX,2023-03,1820.9303
MX,2023-04,1842.9240
MX,2023-05,1848.5652
MX,2023-06,1843.3960
MX,2023-07,1799.2335
MX,2023-08,1824.3561
MX,2023-09,1824.2800
MX,2023-10,1807.2271
MX,2023-11,1800.4440
MX,2023-12,1791.6968
MX,2024-01,1775.7097
MX,2024-02,0.0000
